Iteration,Iter Time (s)
1654,0.4341
1655,0.4310
1656,0.4306
1657,0.4312
1658,0.4311
1659,0.4305
1660,0.4291
1661,0.4421
1662,0.4314
1663,0.4306
1664,0.4320
1665,0.4320
1666,0.4311
1667,0.4335
1668,0.4315
1669,0.4318
1670,0.4304
1671,0.4433
1672,0.4302
1673,0.4309
1674,0.4305
1675,0.4310
1676,0.4328
1677,0.4301
1678,0.4315
1679,0.4324
1680,0.4329
1681,0.4408
1682,0.4314
1683,0.4315
1684,0.4311
1685,0.4314
1686,0.4311
1687,0.4324
1688,0.4305
1689,0.4329
1690,0.4330
1691,0.4366
1692,0.4299
1693,0.4325
1694,0.4325
1695,0.4307
1696,0.4307
1697,0.4306
1698,0.4350
1699,0.4303
1700,0.4299
1701,0.4389
1702,0.4294
1703,0.4295
1704,0.4294
1705,0.4303
1706,0.4300
1707,0.4301
1708,0.4308
1709,0.4312
1710,0.4305
1711,0.4402
1712,0.4289
1713,0.4303
1714,0.4310
1715,0.4304
1716,0.4329
1717,0.4307
1718,0.4319
1719,0.4325
1720,0.4309
1721,0.4401
1722,0.4335
1723,0.4306
1724,0.4305
1725,0.4329
1726,0.4311
1727,0.4327
1728,0.4308
1729,0.4310
1730,0.4312
1731,0.4406
1732,0.4295
1733,0.4304
1734,0.4304
1735,0.4307
1736,0.4306
1737,0.3843
1738,0.2337
1739,0.2391
1740,0.2547
1741,0.2488
1742,0.2462
1743,0.2655
1744,0.2748
1745,0.2761
1746,0.2743
1747,0.2749
1748,0.2707
1749,0.2691
1750,0.2640
1751,0.2479
1752,0.2445
1753,0.2661
1754,0.2687
1755,0.2677
1756,0.2668
1757,0.2677
1758,0.2664
1759,0.2657
1760,0.2685
1761,0.2450
1762,0.2436
1763,0.2623
1764,0.2685
1765,0.2673
1766,0.2665
1767,0.2686
1768,0.2728
1769,0.2728
1770,0.2760
1771,0.2472
1772,0.2458
1773,0.2684
1774,0.2763
1775,0.2725
1776,0.2762
1777,0.2775
1778,0.2713
1779,0.2740
1780,0.2755
1781,0.2513
1782,0.2443
1783,0.2627
1784,0.2675
1785,0.2698
1786,0.2688
1787,0.2703
1788,0.2700
1789,0.2669
1790,0.2635
1791,0.2470
1792,0.2462
1793,0.2665
1794,0.2693
1795,0.2760
1796,0.2759
1797,0.2717
1798,0.2744
1799,0.2733
1800,0.2760
1801,0.2506
1802,0.2468
1803,0.2694
1804,0.2712
1805,0.2700
1806,0.2716
1807,0.2712
1808,0.2727
1809,0.2787
1810,0.2881
1811,0.2515
1812,0.2452
1813,0.2658
1814,0.2694
1815,0.2697
1816,0.2697
1817,0.2711
1818,0.2722
1819,0.2778
1820,0.2787
1821,0.2501
1822,0.2437
1823,0.2626
1824,0.2777
1825,0.2786
1826,0.2741
1827,0.2777
1828,0.2766
1829,0.2813
1830,0.2843
1831,0.2474
1832,0.2488
1833,0.2651
1834,0.2721
1835,0.2737
1836,0.2762
1837,0.2793
1838,0.2711
1839,0.2709
1840,0.2699
1841,0.2488
1842,0.2446
1843,0.2730
1844,0.2766
1845,0.2734
1846,0.2770
1847,0.2789
1848,0.2712
1849,0.2709
1850,0.2661
1851,0.2465
1852,0.2449
1853,0.2712
1854,0.2704
1855,0.2721
1856,0.2693
1857,0.2720
1858,0.2690
1859,0.2740
1860,0.2689
1861,0.2469
1862,0.2423
1863,0.2651
1864,0.2729
